nutrition_ID,country_code,age_ID,variable_ID,median,lowerci_95,upperci_95,country_numeric
11676,MAR,1,11,20.7959905516585,4.29410295810858,32.8372395888875,504
11677,MAR,2,11,20.4072825071922,6.06036843809323,31.9399850241516,504
11678,MAR,4,11,19.8108334862156,9.1585559108298,30.1258756380038,504
11679,MAR,5,11,18.7327999931119,8.84364999263564,29.2507305997105,504
11680,MAR,6,11,16.9914485356983,7.59956734241752,27.8831025661764,504
11681,MDA,1,11,1.09903780388878,0.164406142085382,3.74192413656993,498
11682,MDA,2,11,1.36184178651323,0.280996516793166,4.2193896969758,498
11683,MDA,4,11,1.92911493046251,0.449469440933539,4.99557794986773,498
11684,MDA,5,11,2.00512973389756,0.499772167987572,5.23260981116058,498
11685,MDA,6,11,1.97997576925514,0.46569756958495,5.17831147276878,498
11686,MDG,1,11,0.738048097846935,0.0011732459616411,16.3028738491195,450
11687,MDG,2,11,0.942867165549754,0.0109008763994264,12.511496224651,450
11688,MDG,4,11,1.27866948334504,0.0680654591315478,8.18751828186833,450
11689,MDG,5,11,1.26563981642135,0.0778507758898811,8.32281190903173,450
11690,MDG,6,11,1.06011538862075,0.0584429481174547,7.42548703561917,450
11691,MDV,1,11,3.55689629165464,0.002870763877771,22.6359731673761,462
11692,MDV,2,11,5.10324421803685,0.12138749164871,21.5147042178018,462
11693,MDV,4,11,8.10060847026953,2.10548648678118,21.2088326637849,462
11694,MDV,5,11,8.95770760325783,3.09404974419252,21.8386395621748,462
11695,MDV,6,11,9.48923041256002,3.77989841938541,21.9608987848307,462
11696,MEX,1,11,13.5515493714007,6.17221433526713,23.017227674846,484
11697,MEX,2,11,15.8263529601169,7.93010168012764,24.884850269258,484
11698,MEX,4,11,19.2778736193707,11.1044908187975,27.7492966426861,484
11699,MEX,5,11,19.7252275316699,11.0773037725301,28.0440300775361,484
11700,MEX,6,11,19.28711769076,10.6767259542631,27.5303539283568,484
11701,MHL,1,11,6.38501135769142,0.0955486650862876,28.6063708917288,584
11702,MHL,2,11,9.18599990818993,0.940197513068813,26.544917384962,584
11703,MHL,4,11,14.1514583274303,5.24456210743965,24.6862738097358,584
11704,MHL,5,11,15.0854737774305,6.65020229095521,24.8409216829536,584
11705,MHL,6,11,15.2602788421202,7.43887588145903,25.009778300627,584
11706,MKD,1,11,17.8240443696442,6.70492428426709,28.4148648017234,807
11707,MKD,2,11,19.9442911645927,8.26608798921124,29.6747355355274,807
11708,MKD,4,11,22.9498558055052,11.052948126878,31.017378727936,807
11709,MKD,5,11,23.6871087990813,11.9279971838382,31.4539708761499,807
11710,MKD,6,11,23.5507495798081,11.7158550326013,31.3224755533386,807
11711,MLI,1,11,0.432101002464717,0.0017553375583093,6.81780669581573,466
11712,MLI,2,11,0.514283420200541,0.0107802044505174,5.11869056975245,466
11713,MLI,4,11,0.666006255854082,0.0502800500816051,3.81594817611383,466
11714,MLI,5,11,0.66337254584642,0.0537538269054618,3.40548500259337,466
11715,MLI,6,11,0.581413435383136,0.0422103206278125,3.13751469500824,466
11716,MLT,1,11,5.54433545768348,1.56957965850658,14.7354860898183,470
11717,MLT,2,11,10.5882888884207,4.00675519516342,20.9187531804772,470
11718,MLT,4,11,20.4608539536021,10.8750951780326,29.3781049130346,470
11719,MLT,5,11,22.6913138614634,12.7093640663423,30.668907352073,470
11720,MLT,6,11,23.2543226727678,13.1481501127108,31.0236841432022,470
11721,MMR,1,11,3.1470286526788,0.0059341232796998,27.1615412970968,104
11722,MMR,2,11,5.39669606158647,0.145847490119557,25.1882469982819,104
11723,MMR,4,11,9.86258126882908,2.24399477569033,23.0805524317011,104
11724,MMR,5,11,11.0160408404605,3.05336960578807,23.3671650884237,104
11725,MMR,6,11,10.9993277560367,3.17812502984838,23.6230270202687,104
11726,MNE,1,11,15.9784247708548,5.5978678768292,26.9619017449507,499
11727,MNE,2,11,18.0941215866013,7.43365160532847,28.4800413886047,499
11728,MNE,4,11,21.5407664377808,10.144651847954,30.3312079303568,499
11729,MNE,5,11,21.9040518371128,9.90922188537387,30.8300907040745,499
11730,MNE,6,11,21.9286897021237,10.4102951435341,30.5386075864778,499
11731,MNG,1,11,1.39329215020278,0.140477410957079,6.52856952244318,496
11732,MNG,2,11,1.90372852413576,0.23800547209798,7.69420591826306,496
11733,MNG,4,11,2.83005061118844,0.437701154705786,9.84365087407011,496
11734,MNG,5,11,3.04740596851326,0.496939581702328,10.1936588807189,496
11735,MNG,6,11,2.96657010403068,0.472223681652721,10.3655071579571,496
11736,MOZ,1,11,7.24089337755338,0.0759004679155109,32.6360199072321,508
11737,MOZ,2,11,8.97152049943115,0.269164860342125,31.3149355709892,508
11738,MOZ,4,11,11.0151088850692,1.13943111903139,28.3772289470529,508
11739,MOZ,5,11,10.6188470548577,1.3224164663351,26.8337350405124,508
11740,MOZ,6,11,9.37054914277631,1.10456658414091,25.4586718710867,508
11741,MRT,1,11,14.8492747113425,1.25950773186196,32.8993080940985,478
11742,MRT,2,11,16.5368569739977,3.08329790810971,32.0929665304608,478
11743,MRT,4,11,18.5416380576325,6.75587538306299,29.9762405827528,478
11744,MRT,5,11,18.3312052771662,6.97403995271065,29.6077217883154,478
11745,MRT,6,11,17.058030459827,5.90750331694327,28.5643835857284,478
11746,MUS,1,11,15.9061486373082,1.73083332534981,32.8927982431886,480
11747,MUS,2,11,17.3610267157605,3.67375064782431,32.049969477477,480
